xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
245,244,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,WCF,1
246,245,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,SFW,1
247,246,PB5011|PB5037|PB5059,3,3,3,multi_candidate_all_mapped,129,,mapped,processed_data/boundaries/PB5011.geojson|processed_data/boundaries/PB5037.geojson|processed_data/boundaries/PB5059.geojson,,Pronghorn,Buck,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,NWTF,1
248,247,PB5038|PB5053,2,2,2,multi_candidate_all_mapped,277,,mapped,processed_data/boundaries/PB5038.geojson|processed_data/boundaries/PB5053.geojson,,Pronghorn,Buck,"Nine Mile, Range Creek",Any Legal Weapon,NWTF,1
249,248,PB5039,1,1,1,single_code_mapped,138,,mapped,processed_data/boundaries/PB5039.geojson,,Pronghorn,Buck,"North Slope, Summit",Any Legal Weapon,MDF,1
250,249,PB5012|PB5040|PB5066,3,3,3,multi_candidate_all_mapped,289,,mapped,processed_data/boundaries/PB5012.geojson|processed_data/boundaries/PB5040.geojson|processed_data/boundaries/PB5066.geojson,,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",Any Legal Weapon,MDF,1
251,250,PB5012|PB5040|PB5066,3,3,3,multi_candidate_all_mapped,289,,mapped,processed_data/boundaries/PB5012.geojson|processed_data/boundaries/PB5040.geojson|processed_data/boundaries/PB5066.geojson,,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",Any Legal Weapon,SFW,1
252,251,PB5012|PB5040|PB5066,3,3,3,multi_candidate_all_mapped,289,,mapped,processed_data/boundaries/PB5012.geojson|processed_data/boundaries/PB5040.geojson|processed_data/boundaries/PB5066.geojson,,Pronghorn,Buck,"North Slope, Three Corners/West Daggett",Any Legal Weapon,SFW,1
253,252,PB5041|PB5054|PB5061,3,3,3,multi_candidate_all_mapped,718,,mapped,processed_data/boundaries/PB5041.geojson|processed_data/boundaries/PB5054.geojson|processed_data/boundaries/PB5061.geojson,,Pronghorn,Buck,"Panguitch Lake/Zion, North",Any Legal Weapon,SFW,1
254,253,PB5041|PB5054|PB5061,3,3,3,multi_candidate_all_mapped,718,,mapped,processed_data/boundaries/PB5041.geojson|processed_data/boundaries/PB5054.geojson|processed_data/boundaries/PB5061.geojson,,Pronghorn,Buck,"Panguitch Lake/Zion, North",Any Legal Weapon,MDF,1
255,254,PB5076|PB5077|PB5078,3,3,3,multi_candidate_all_mapped,703,,mapped,processed_data/boundaries/PB5076.geojson|processed_data/boundaries/PB5077.geojson|processed_data/boundaries/PB5078.geojson,,Pronghorn,Buck,Parker Mtn,Any Legal Weapon,MDF,1
256,255,PB5076|PB5077|PB5078,3,3,3,multi_candidate_all_mapped,703,,mapped,processed_data/boundaries/PB5076.geojson|processed_data/boundaries/PB5077.geojson|processed_data/boundaries/PB5078.geojson,,Pronghorn,Buck,Parker Mtn,Any Legal Weapon,SFW,1
257,256,PB5076|PB5077|PB5078,3,3,3,multi_candidate_all_mapped,703,,mapped,processed_data/boundaries/PB5076.geojson|processed_data/boundaries/PB5077.geojson|processed_data/boundaries/PB5078.geojson,,Pronghorn,Buck,Parker Mtn,Any Legal Weapon,SFW,1
258,257,PB5076|PB5077|PB5078,3,3,3,multi_candidate_all_mapped,703,,mapped,processed_data/boundaries/PB5076.geojson|processed_data/boundaries/PB5077.geojson|processed_data/boundaries/PB5078.geojson,,Pronghorn,Buck,Parker Mtn,Any Legal Weapon,SFW,1
259,258,PB5013|PB5042|PB5062,3,3,3,multi_candidate_all_mapped,636,,mapped,processed_data/boundaries/PB5013.geojson|processed_data/boundaries/PB5042.geojson|processed_data/boundaries/PB5062.geojson,,Pronghorn,Buck,Pine Valley,Any Legal Weapon,MDF,1
