source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,30,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,30,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,29,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,29,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,28,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,28,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,27,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,27,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,26,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,26,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,25,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,25,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,24,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,24,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Resident,23,0,0,0,0,N/A
25_bg-odds.pdf,338,EB3199,Limited-entry Archery Bull Elk - Late - Wasatch Mtns - Archery,2025,Nonresident,23,0,0,0,0,N/A
