identity_key,actual_draw_year,model_target_year,hunt_code,species,sex_type,weapon,boundary_id,hunt_name,hunt_type,draw_design,season,source_row_count,source_files,identity_status
2019|BR7217|black bear|either sex|any legal weapon,2019,2020,BR7217,Black Bear,Either Sex,Any Legal Weapon,710,San Juan,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7218|black bear|either sex|any legal weapon,2019,2020,BR7218,Black Bear,Either Sex,Any Legal Weapon,444,"South Slope, Bonanza/diamond Mtn/vernal",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7219|black bear|either sex|any legal weapon,2019,2020,BR7219,Black Bear,Either Sex,Any Legal Weapon,613,"South Slope, Yellowstone",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7220|black bear|either sex|any legal weapon,2019,2020,BR7220,Black Bear,Either Sex,Any Legal Weapon,463,"Wasatch Mtns, Avintaquin/currant Creek",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7221|black bear|either sex|any legal weapon,2019,2020,BR7221,Black Bear,Either Sex,Any Legal Weapon,448,"Wasatch Mtns, West-central",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7224|black bear|either sex|any legal weapon,2019,2020,BR7224,Black Bear,Either Sex,Any Legal Weapon,12,"Book Cliffs, Little Creek Roadless",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7225|black bear|either sex|any legal weapon,2019,2020,BR7225,Black Bear,Either Sex,Any Legal Weapon,12,"Book Cliffs, Little Creek Roadless",O.T.C.,Capped Permits,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7228|black bear|either sex|any legal weapon,2019,2020,BR7228,Black Bear,Either Sex,Any Legal Weapon,92,Cache/ogden,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7229|black bear|either sex|any legal weapon,2019,2020,BR7229,Black Bear,Either Sex,Any Legal Weapon,251,"Kamas/north Slope, Summit",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7300|black bear|either sex|multiseason,2019,2020,BR7300,Black Bear,Either Sex,Multiseason,449,"Book Cliffs, Bitter Creek/south",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7301|black bear|either sex|multiseason,2019,2020,BR7301,Black Bear,Either Sex,Multiseason,12,"Book Cliffs, Little Creek Roadless",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7303|black bear|either sex|multiseason,2019,2020,BR7303,Black Bear,Either Sex,Multiseason,52,"Central Mtns, Manti-north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7304|black bear|either sex|multiseason,2019,2020,BR7304,Black Bear,Either Sex,Multiseason,744,"Central Mtns, Manti-south/san Rafael, north",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7305|black bear|either sex|multiseason,2019,2020,BR7305,Black Bear,Either Sex,Multiseason,616,"Central Mtns, Nebo",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7307|black bear|either sex|multiseason,2019,2020,BR7307,Black Bear,Either Sex,Multiseason,684,La Sal,Conservation,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7308|black bear|either sex|multiseason,2019,2020,BR7308,Black Bear,Either Sex,Multiseason,289,"North Slope, Three Corners/west Daggett",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7309|black bear|either sex|multiseason,2019,2020,BR7309,Black Bear,Either Sex,Multiseason,462,Panguitch Lake/zion,Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
2019|BR7310|black bear|either sex|multiseason,2019,2020,BR7310,Black Bear,Either Sex,Multiseason,455,"Plateau, Boulder/kaiparowits",Limited Entry,Preference,,21,data_truth\draw_results_truth\normalized\canonical_yearly\draw_results_2019_for_2020_canonical_yearly_draw_results.csv,unique_identity
