hunt_code,prefix,present_report_year_2020,source_count_report_year_2020,present_report_year_2021,source_count_report_year_2021,present_report_year_2022,source_count_report_year_2022,present_report_year_2023,source_count_report_year_2023,present_report_year_2024,source_count_report_year_2024,present_report_year_2025,source_count_report_year_2025,present_report_year_2026,source_count_report_year_2026
DB1019,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1020,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1021,DB,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DB1022,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1023,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1024,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1025,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1026,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1027,DB,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1028,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1029,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1030,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1031,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1032,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1033,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1034,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1036,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1037,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1038,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1039,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1040,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1041,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1042,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1043,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1044,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1045,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1046,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1047,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1048,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1051,DB,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DB1052,DB,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DB1053,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1054,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1055,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1058,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1059,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1065,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1073,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1074,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1077,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1078,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1079,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1080,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1081,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1082,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1083,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1084,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1085,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1086,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1087,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1088,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1089,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1090,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1091,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1092,DB,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1094,DB,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0
DB1100,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1101,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1103,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1105,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1106,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1107,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1108,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1109,DB,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
DB1110,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1111,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1112,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1113,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1114,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1115,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1116,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1119,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1120,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1121,DB,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
DB1200,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
