target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,source_res,source_nr,source_total,source_file,action,reason
EL3171,EB3171,Cache South,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3006,EB3006,Manti,Manti,ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,44,6,50,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3038,EB3038,Manti,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,20,2,22,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3039,EB3039,Manti,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,31,2,33,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3084,EB3084,Manti,Manti,ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,22,3,25,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3126,EB3126,Manti,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,22,5,27,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3172,EB3172,Manti,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
LO1599,DB1599,Chalk Creek,Chalk Creek - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (LATE),ANY LEGAL WEAPON,0.4,True,False,LOW,472,4,476,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1600,DB1600,Chalk Creek,Chalk Creek - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,235,9,244,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1601,DB1601,Chalk Creek,Chalk Creek - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (EARLY),ANY LEGAL WEAPON,0.4,True,False,LOW,203,8,211,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1602,DB1602,Chalk Creek,Chalk Creek - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,134,1,135,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LP5033,PB5033,"Fillmore, Oak Creek South - Private Land Only","Fillmore, Oak Creek South",PRONGHORN,PRONGHORN,ANY LEGAL WEAPON,ANY LEGAL WEAPON,1.0,True,True,HIGH,8,2,10,24_le_pronghorn.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
LD1019,DB1019,"Fillmore, Oak Creek LE - Private Land Only","Fillmore, Oak Creek Le",DEER,DEER,ANY LEGAL WEAPON,ANY LEGAL WEAPON,1.0,True,True,HIGH,7,2,9,24_le_deer.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3008,EB3008,Fillmore Pahvant,"Fillmore, Pahvant",ELK,ELK,ARCHERY,ARCHERY,1.0,True,True,HIGH,3,1,4,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3042,EB3042,Fillmore Pahvant,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,4,1,5,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
