year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,applicants_total,bonus_permits,regular_permits,permits_total,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page
2021,2022,DB1059,Limited-entry Muzzleloader Buck Deer - Beaver - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,62,2,2,4,1 in 15.5,6.4516129,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,53
2021,2022,DB1059,Limited-entry Muzzleloader Buck Deer - Beaver - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,37,0,1,1,1 in 37.0,2.7027027,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,53
2021,2022,DB1065,Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,69,6,5,11,1 in 6.3,15.87301587,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,54
2021,2022,DB1065,Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,5,0,1,1,1 in 5.0,20,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,54
2021,2022,DB1073,Management Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,53,2,2,4,1 in 13.3,7.51879699,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,55
2021,2022,DB1073,Management Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,38,0,1,1,1 in 38.0,2.63157895,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,55
2021,2022,DB1074,Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,111,2,2,4,1 in 27.8,3.5971223,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,56
2021,2022,DB1074,Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,56,0,1,1,1 in 56.0,1.78571429,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,56
2021,2022,DB1077,Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader,DEER,L.E.,BONUS_POINT,Resident,65,8,8,16,1 in 4.1,24.3902439,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,57
2021,2022,DB1077,Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader,DEER,L.E.,BONUS_POINT,Nonresident,32,1,1,2,1 in 16.0,6.25,hunt_total_draw_result,21_bg-odds.pdf,BG_PARENT,57
