year,model_year,hunt_code,hunt_name,species,hunt_type,draw_design,residency,point_level,applicants,bonus_permits,regular_permits,permits,success_ratio,success_rate,record_type,source_file,source_scope,source_pdf_page,point_label
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,17,30,1,1,2,1 in 15.0,6.66666667,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,17,14,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,16,32,0,2,2,1 in 16.0,6.25,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,16,6,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,15,24,0,1,1,1 in 24.0,4.16666667,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,15,16,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,14,36,0,1,1,1 in 36.0,2.77777778,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,14,11,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,13,38,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Nonresident,13,17,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
2021,2022,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DEER,L.E.,BONUS_POINT,Resident,12,41,0,0,0,N/A,,point_level_draw_result,21_bg-odds.pdf,BG_PARENT,4,Bonus Points
