"source","year","title","status","bytes","file","url","error"
"utah_wildlife_biggame_odds_archive","2020","Sportsman draw odds report","ok","133936","older_years_biggame_odds/2020/20-21_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2020/20-21_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019-20 sportsman drawing odds report","ok","134182","older_years_biggame_odds/2019/19-20_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2019/19-20_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 big game drawing odds report for limited-entry and once-in-a-lifetime","ok","2006015","older_years_biggame_odds/2019/19_bg-odds.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_bg-odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 general-season deer drawing odds report","ok","397391","older_years_biggame_odds/2019/19_deer_odds.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_deer_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 Dedicated Hunter drawing odds report","ok","180565","older_years_biggame_odds/2019/19_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 lifetime general-season deer drawing odds report","ok","387963","older_years_biggame_odds/2019/19_lifetime_deer.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_lifetime_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 youth any bull elk drawing odds report","ok","72444","older_years_biggame_odds/2019/19_youth_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_youth_bull_elk.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 youth Dedicated Hunter drawing odds report","ok","148775","older_years_biggame_odds/2019/19_youth_dh_odds.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_youth_dh_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 youth general-season deer drawing odds report","ok","383036","older_years_biggame_odds/2019/19_youth_deer.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_youth_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 antlerless drawing odds report","ok","931713","older_years_biggame_odds/2019/19_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2019","2019 youth antlerless drawing odds report","ok","822988","older_years_biggame_odds/2019/19_youth_antlerless_drawing_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2019/19_youth_antlerless_drawing_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018-19 sportsman drawing odds report","ok","134671","older_years_biggame_odds/2018/18-19_sportsman_odds.pdf","https://wildlife.utah.gov/pdf/bg/2018/18-19_sportsman_odds.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 big game drawing odds report for limited-entry and once-in-a-lifetime","ok","1926120","older_years_biggame_odds/2018/18_big_game_odds_report.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_big_game_odds_report.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 Dedicated Hunter drawing odds report","ok","184866","older_years_biggame_odds/2018/18_dedicated_hunter_deer.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_dedicated_hunter_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 general-season deer drawing odds report","ok","408060","older_years_biggame_odds/2018/18_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 lifetime general-season deer drawing odds report","ok","452777","older_years_biggame_odds/2018/18_lifetime_general_deer.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_lifetime_general_deer.pdf",""
"utah_wildlife_biggame_odds_archive","2018","2018 youth any bull elk drawing odds report","ok","73213","older_years_biggame_odds/2018/18_youth_any_bull_elk.pdf","https://wildlife.utah.gov/pdf/bg/2018/18_youth_any_bull_elk.pdf",""
