hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
DB1586,"Hunt: DB1586 Wasatch Mtns, West - Muzzleloader Page 84","Wasatch Mtns, West",wasatch mtns west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,84
DB1587,"Hunt: DB1587 West Desert, Tintic - Muzzleloader Page 85","West Desert, Tintic",west desert tintic,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,85
DB1588,"Hunt: DB1588 West Desert, West - Muzzleloader Page 86","West Desert, West",west desert west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,86
DB1589,Hunt: DB1589 Zion - Muzzleloader Page 87,Zion,zion,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,87
DB1590,Hunt: DB1590 Chalk Creek/east Canyon/morgan-south Rich - Any Legal Weapon Page 88,Chalk Creek/east Canyon/morgan-south Rich,chalk creek east canyon morgan south rich,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,88
DB1591,Hunt: DB1591 Fillmore - Any Legal Weapon Page 89,Fillmore,fillmore,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,89
DB1592,Hunt: DB1592 Kamas - Any Legal Weapon Page 90,Kamas,kamas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,90
DB1593,Hunt: DB1593 Nine Mile - Any Legal Weapon Page 91,Nine Mile,nine mile,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,91
DB1594,Hunt: DB1594 Panguitch Lake - Any Legal Weapon Page 92,Panguitch Lake,panguitch lake,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,92
DB1595,Hunt: DB1595 Pine Valley - Any Legal Weapon Page 93,Pine Valley,pine valley,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__G.S. DEER DEER DRAW RESULTS.pdf,93
