source_file,source_sheet,hunt_name,hunt_code,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,hunt_class,harvest_success_prior_year_pct,average_harvest_age,current_age_3yr_avg,avg_days_hunted_prior_year
2026_DEER_BUCK_DRAW.xlsx,Sheet,East Canyon,DB1101,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,9,1,10,MAX / RANDOM DRAW,60,,,5.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Morgan-South Rich,DB1103,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,7,1,8,MAX / RANDOM DRAW,37.5,,,4.1
2026_DEER_BUCK_DRAW.xlsx,Sheet,East Canyon,DB1105,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,6,1,7,MAX / RANDOM DRAW,83.3,,,6.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Thousand Lakes,DB1106,Buck,Deer,Restricted Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,20,2,22,MAX / RANDOM DRAW,16.7,,,5.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Thousand Lakes,DB1107,Buck,Deer,Restricted Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,20,2,22,MAX / RANDOM DRAW,27.8,,,4
2026_DEER_BUCK_DRAW.xlsx,Sheet,Thousand Lakes,DB1108,Buck,Deer,Restricted Rifle,Limited Entry,Oct 17 2026 - Oct 25 2026,27,3,30,MAX / RANDOM DRAW,54.5,,,3.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Thousand Lakes,DB1109,Buck,Deer,Restricted Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",2,0,2,MAX / RANDOM DRAW,100,,,3.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Beaver, East",DB1110,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,10,1,11,MAX / RANDOM DRAW,40,,,8.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,"Beaver, West",DB1111,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,MAX / RANDOM DRAW,100,,,6.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,"West Desert, Swasey",DB1112,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,4,1,5,MAX / RANDOM DRAW,25,,,7
2026_DEER_BUCK_DRAW.xlsx,Sheet,Oquirrh/Tintic,DB1113,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,10,1,11,MAX / RANDOM DRAW,100,,,4.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Cedar/Stansbury,DB1114,Buck,Deer,Muzzleloader,Limited Entry,Oct 28 2026 - Nov 05 2026,5,1,6,MAX / RANDOM DRAW,33.3,,,6.2
2026_DEER_BUCK_DRAW.xlsx,Sheet,Little Rockies,DB1115,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 30 2026,4,1,5,MAX / RANDOM DRAW,40,,,11.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,"San Juan, Mancos Mesa",DB1116,Buck,Deer,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Limited Entry,Nov 07 2026 - Nov 30 2026,4,1,5,MAX / RANDOM DRAW,50,,,13.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Dolores Triangle,DB1118,Buck,Deer,Multiseason,Conservation,"Arch: Oct 31-Nov 13, 2026 | Any Legal Weapon: Nov 14-22, 2026 | Muzz: Nov 23-Dec 1, 2026",,,,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Moab Valley,DB1119,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 22 2026,9,1,10,MAX / RANDOM DRAW,44.4,,,6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Castle Valley,DB1120,Buck,Deer,Any Legal Weapon,Limited Entry,Nov 07 2026 - Nov 22 2026,13,2,15,MAX / RANDOM DRAW,80,,,5.9
2026_DEER_BUCK_DRAW.xlsx,Sheet,Antelope Island,DB1121,Buck,Deer,Any Legal Weapon,Management Buck Deer,"Nov 16 2026 - Nov 20, 2026",2,0,2,MAX / RANDOM DRAW,,,,
2026_DEER_BUCK_DRAW.xlsx,Sheet,Alton - Premium Buck CWMU,DB1200,Buck,Deer,Any Legal Weapon,CWMU,Contact operator for 2026 season dates,3,0,3,MAX / RANDOM DRAW,90,,,5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Alton - Management Buck CWMU,DB1201,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,2.6
2026_DEER_BUCK_DRAW.xlsx,Sheet,Antelope Creek CWMU,DB1202,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,50,,,7
2026_DEER_BUCK_DRAW.xlsx,Sheet,Avintaquin Canyon CWMU,DB1203,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,2
2026_DEER_BUCK_DRAW.xlsx,Sheet,Bally Watts CWMU,DB1204,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,77.8,,,1.8
2026_DEER_BUCK_DRAW.xlsx,Sheet,Bar J Ranch CWMU,DB1205,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,50,,,3.5
2026_DEER_BUCK_DRAW.xlsx,Sheet,Bear Mountain CWMU,DB1206,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,100,,,3.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Bear Springs CWMU,DB1207,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,1,0,1,MAX / RANDOM DRAW,66.7,,,3.3
2026_DEER_BUCK_DRAW.xlsx,Sheet,Blackhawk CWMU,DB1208,Buck,Deer,Any Legal Weapon,CWMU,Contact Operator for 2026 season dates,2,0,2,MAX / RANDOM DRAW,100,,,4
